Setup_TwoSides.txt,Movement_Move 1 marble exactly 2 spaces in any direction.,Movement_Move 1 marble by 1 space in any direction.,Movement_Move 1 marble by up to 3 spaces in any direction in a straight line.,Movement_Jump over 1 marble or blocker or move a marble by 1 space in any direction,Push_Push a column of marbles by 1 space in any direction,"PushOut_Pushed out marbles return to the center, if it is free. Else they are removed.",PushOut_Pushed out marbles are removed from play,PushOut_Pushed out marbles return to the center. Remove any pre-existing marble.,"PushRequirement_You can push your opposing marbles if you use an uneven number of marbles (1, 3 or 5). Do not split your column while pushing the opponent.",PushRequirement_You can push opposing marbles if you use more or equal marbles. Do not split your column while pushing the opponent.,PushRequirement_You can push opposing marbles if you use fewer or more marbles.,PushRequirement_You can push opposing marbles if you use equal marbles. Do not split your column while pushing the opponent.,PushRequirement_You can push opposing marbles if you use more marbles.,"PushRequirement_You can push opposing marbles if you use an even number of marbles (2, 4 or 6). Do not split your column while pushing the opponent.",PushRequirement_You can push opposing marbles if you use fewer or equal marbles. Do not split your column while pushing the opponent.,Victory_Push out 3 opposing marbles.,Victory_Occupy all goals of your color.,Victory_Occupy 1 goal of each color.,Victory_Occupy 3 non-neighbouring goals.,total_games,player0_wins,player0_win_rate,ci_lower,ci_upper,rule_description
1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,6,6,1.0,1.0,1.0,"Setup: TwoSides.txt | Movement: Move 1 marble by up to 3 spaces in any direction in a straight line. | Push: Push a column of marbles by 1 space in any direction | PushOut: Pushed out marbles return to the center, if it is free. Else they are removed. | PushRequirement: You can push your opposing marbles if you use an uneven number of marbles (1, 3 or 5). Do not split your column while pushing the opponent. | Victory: Occupy 3 non-neighbouring goals."
1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,6,6,1.0,1.0,1.0,Setup: TwoSides.txt | Movement: Move 1 marble by up to 3 spaces in any direction in a straight line. | Push: Push a column of marbles by 1 space in any direction | PushOut: Pushed out marbles return to the center. Remove any pre-existing marble. | PushRequirement: You can push opposing marbles if you use more or equal marbles. Do not split your column while pushing the opponent. | Victory: Occupy all goals of your color.
1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,6,6,1.0,1.0,1.0,"Setup: TwoSides.txt | Movement: Move 1 marble exactly 2 spaces in any direction. | Push: Push a column of marbles by 1 space in any direction | PushOut: Pushed out marbles are removed from play | PushRequirement: You can push opposing marbles if you use an even number of marbles (2, 4 or 6). Do not split your column while pushing the opponent. | Victory: Occupy all goals of your color."
1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,6,6,1.0,1.0,1.0,Setup: TwoSides.txt | Movement: Move 1 marble by up to 3 spaces in any direction in a straight line. | Push: Push a column of marbles by 1 space in any direction | PushOut: Pushed out marbles are removed from play | PushRequirement: You can push opposing marbles if you use fewer or more marbles. | Victory: Occupy all goals of your color.
1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,6,6,1.0,1.0,1.0,Setup: TwoSides.txt | Movement: Move 1 marble exactly 2 spaces in any direction. | Push: Push a column of marbles by 1 space in any direction | PushOut: Pushed out marbles return to the center. Remove any pre-existing marble. | PushRequirement: You can push opposing marbles if you use equal marbles. Do not split your column while pushing the opponent. | Victory: Occupy 1 goal of each color.
1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,6,5,0.8333333333333334,0.535128829802743,1.1315378368639237,Setup: TwoSides.txt | Movement: Jump over 1 marble or blocker or move a marble by 1 space in any direction | Push: Push a column of marbles by 1 space in any direction | PushOut: Pushed out marbles return to the center. Remove any pre-existing marble. | PushRequirement: You can push opposing marbles if you use more marbles. | Victory: Occupy all goals of your color.
1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,6,5,0.8333333333333334,0.535128829802743,1.1315378368639237,"Setup: TwoSides.txt | Movement: Move 1 marble exactly 2 spaces in any direction. | Push: Push a column of marbles by 1 space in any direction | PushOut: Pushed out marbles return to the center, if it is free. Else they are removed. | PushRequirement: You can push opposing marbles if you use fewer or more marbles. | Victory: Occupy all goals of your color."
1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,6,5,0.8333333333333334,0.535128829802743,1.1315378368639237,"Setup: TwoSides.txt | Movement: Move 1 marble exactly 2 spaces in any direction. | Push: Push a column of marbles by 1 space in any direction | PushOut: Pushed out marbles return to the center, if it is free. Else they are removed. | PushRequirement: You can push opposing marbles if you use an even number of marbles (2, 4 or 6). Do not split your column while pushing the opponent. | Victory: Occupy 1 goal of each color."
1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,6,5,0.8333333333333334,0.535128829802743,1.1315378368639237,Setup: TwoSides.txt | Movement: Move 1 marble by 1 space in any direction. | Push: Push a column of marbles by 1 space in any direction | PushOut: Pushed out marbles return to the center. Remove any pre-existing marble. | PushRequirement: You can push opposing marbles if you use more marbles. | Victory: Occupy 1 goal of each color.
1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,6,5,0.8333333333333334,0.535128829802743,1.1315378368639237,"Setup: TwoSides.txt | Movement: Move 1 marble by up to 3 spaces in any direction in a straight line. | Push: Push a column of marbles by 1 space in any direction | PushOut: Pushed out marbles return to the center, if it is free. Else they are removed. | PushRequirement: You can push opposing marbles if you use more marbles. | Victory: Occupy 1 goal of each color."
